model,model_year,engine_hp,engine_cylinders,driven_wheels,number_of_doors,highway_mpg,city_mpg,popularity,msrp,maker_name,type_name,transmission_type_name,vehicle_size_name,vehicle_style_name,cost_per_unit,units_sold,profit_per_unit
C-Class,2016,241.0,4.0,3,4.0,31,24,617,41275,18,0,0,2,2,35663.45,481960,5611.55
ATS,2016,202.0,4.0,0,4.0,32,22,1624,37340,10,1,0,2,2,34085.17,844287,3254.83
C-Class,2015,451.0,8.0,0,2.0,19,13,617,62950,18,0,0,0,1,52909.14,33204,10040.86
9-3 Griffin,2012,220.0,4.0,1,2.0,28,18,376,40840,24,5,0,0,0,34960.05,460567,5879.95
9-3 Griffin,2012,220.0,4.0,1,4.0,29,19,376,34340,24,5,0,2,2,31756.32,708057,2583.68
A7,2015,240.0,6.0,3,4.0,38,24,3105,72150,9,4,0,1,2,57596.31,28609,14553.69
Durango,2015,290.0,6.0,3,4.0,24,17,1851,43595,7,1,0,1,11,36709.86,473701,6885.14
Electra,1990,165.0,6.0,1,4.0,25,16,155,2000,34,1,0,2,2,1849.31,816196,150.69
740,1991,114.0,4.0,0,4.0,24,18,870,2000,38,1,0,2,2,1822.13,784518,177.87
Accord Crosstour,2010,271.0,6.0,3,4.0,25,17,2202,34020,3,1,0,2,7,30600.18,701038,3419.82
300-Class,1991,177.0,6.0,0,4.0,19,15,617,2232,18,1,0,1,2,2068.74,712498,163.26
300-Class,1993,121.0,5.0,0,4.0,30,23,617,2000,18,4,0,2,2,1826.6,791873,173.4
850,1996,168.0,5.0,1,4.0,26,18,870,2000,38,1,1,2,2,1785.8,764990,214.2
Accord,2016,185.0,4.0,1,2.0,35,26,2202,26850,3,1,0,2,1,24588.12,779428,2261.88
Accord,2016,185.0,4.0,1,4.0,37,27,2202,30670,3,1,0,2,2,28187.4,902595,2482.6
Golf GTI,2015,210.0,4.0,1,4.0,33,25,873,31145,4,2,2,0,7,28082.12,844614,3062.88
Golf GTI,2016,220.0,4.0,1,4.0,34,25,873,27090,4,2,1,0,7,24716.55,743087,2373.45
CX-7,2012,161.0,4.0,1,4.0,27,20,586,22190,2,1,0,2,11,20450.96,887625,1739.04
Cascada,2017,200.0,4.0,1,2.0,27,20,155,37065,34,2,0,2,0,32938.39,749265,4126.61
Cobalt,2010,260.0,4.0,1,2.0,30,22,1385,24535,5,2,1,0,1,21653.91,848838,2881.09
Avenger,2012,173.0,4.0,1,4.0,31,20,1851,21495,7,1,0,2,2,19277.43,775287,2217.57
ATS,2016,335.0,6.0,3,4.0,28,19,1624,47155,10,1,0,2,2,40540.78,510183,6614.22
BRZ,2017,205.0,4.0,0,2.0,29,21,640,25495,17,0,1,0,1,22849.51,841807,2645.49
Aventador,2014,700.0,12.0,3,2.0,18,11,1158,397500,25,0,2,2,1,301381.01,459,96118.99
Challenger,2017,375.0,8.0,0,2.0,23,15,1851,40140,7,1,1,1,1,34128.2,428635,6011.8
Charger,2015,707.0,8.0,0,4.0,22,13,1851,62295,7,2,0,1,2,49301.8,67746,12993.2
Charger,2016,370.0,8.0,0,4.0,25,16,1851,33895,7,1,0,1,2,31176.26,694858,2718.74
E-150,1997,200.0,6.0,0,3.0,17,12,5657,2000,8,1,0,2,6,1821.36,829740,178.64
E-150,1998,200.0,6.0,0,3.0,17,12,5657,2301,8,1,0,2,6,2070.59,766735,230.41
CX-3,2017,146.0,4.0,1,4.0,34,29,586,21960,2,1,0,0,11,19861.73,730547,2098.27
CX-3,2017,146.0,4.0,3,4.0,32,27,586,23210,2,1,0,0,11,20629.65,799913,2580.35
90,1993,172.0,6.0,3,4.0,20,15,3105,2000,9,1,1,0,2,1850.92,698014,149.08
90,1993,172.0,6.0,1,4.0,24,18,3105,2000,9,1,1,0,2,1829.89,820489,170.11
Camaro,2017,275.0,4.0,0,2.0,30,20,1385,25905,5,2,1,2,1,23966.58,793482,1938.42
Camry Solara,2006,157.0,4.0,1,2.0,30,20,2031,20360,13,1,0,2,1,18562.14,774833,1797.86
7 Series,2017,320.0,6.0,3,4.0,28,19,3916,84500,20,0,0,1,2,65138.79,15437,19361.21
A5,2016,220.0,4.0,3,2.0,29,21,3105,47900,9,0,0,2,0,41416.6,481555,6483.4
Cadenza,2017,290.0,6.0,1,4.0,28,20,1720,38990,27,1,0,2,2,35681.7,783817,3308.3
Cadenza,2017,290.0,6.0,1,4.0,28,20,1720,31990,27,1,0,2,2,29360.17,795343,2629.83
Cutlass Calais,1990,110.0,4.0,1,4.0,30,19,26,2000,26,1,1,0,2,1835.08,904841,164.92
Cutlass Ciera,1992,110.0,4.0,1,4.0,28,19,26,2000,26,1,0,2,2,1777.59,802697,222.41
Cutlass Ciera,1994,120.0,4.0,1,4.0,28,22,26,2000,26,1,0,2,2,1851.67,892638,148.33
Focus ST,2016,252.0,4.0,1,4.0,31,22,5657,24425,8,2,1,0,7,21921.52,764167,2503.48
Forenza,2006,126.0,4.0,1,4.0,28,19,481,15999,23,1,0,0,2,14470.8,825077,1528.2
Accord,2017,278.0,6.0,1,4.0,33,21,2202,34830,3,1,0,2,2,31060.85,850054,3769.15
240,1991,114.0,4.0,0,4.0,23,18,870,2000,38,1,0,2,12,1785.23,905937,214.77
1 Series,2012,300.0,6.0,0,2.0,28,20,3916,39300,20,0,1,0,1,35602.96,727183,3697.04
4 Series,2016,300.0,6.0,3,2.0,30,20,3916,50150,20,0,0,2,1,42988.72,516526,7161.28
4 Series,2017,320.0,6.0,0,2.0,29,21,3916,57300,20,2,0,2,0,48622.17,448485,8677.83
6,2016,184.0,4.0,1,4.0,38,26,586,24995,2,1,0,2,2,22517.46,831516,2477.54
Armada,2015,317.0,8.0,0,4.0,19,13,2009,43600,0,1,0,1,11,38010.87,434952,5589.13
B9 Tribeca,2007,245.0,6.0,3,4.0,21,16,640,37295,17,0,0,2,11,34048.06,706073,3246.94
300-Class,1993,228.0,6.0,0,4.0,18,14,617,2540,18,1,0,1,2,2254.41,781611,285.59
5 Series,2015,443.0,8.0,0,4.0,25,17,3916,64900,20,0,0,1,2,54451.22,29926,10448.78
2,2013,100.0,4.0,1,4.0,35,29,586,14720,2,1,1,0,7,13293.99,751120,1426.01
5 Series Gran Turismo,2015,300.0,6.0,3,4.0,26,18,3916,63000,20,0,0,1,7,52674.88,71835,10325.12
3-Sep,2011,210.0,4.0,3,4.0,27,17,376,32395,24,2,0,2,2,28947.23,773400,3447.77
5-Sep,2011,300.0,6.0,3,4.0,27,17,376,49565,24,2,0,1,2,42878.56,492220,6686.44
Aerio,2006,155.0,4.0,1,4.0,28,22,481,15099,23,1,1,0,2,13459.23,858708,1639.77
Baja,2005,165.0,4.0,3,4.0,25,19,640,22345,17,1,1,0,9,19747.44,787576,2597.56
300ZX,1996,222.0,6.0,0,2.0,22,17,2009,3185,0,1,1,0,1,2842.09,716273,342.91
6 Series Gran Coupe,2017,445.0,8.0,0,4.0,24,17,3916,91200,20,0,0,1,2,73399.7,19364,17800.3
940,1994,162.0,4.0,0,4.0,22,17,870,2000,38,1,0,2,12,1771.07,790014,228.93
CLS-Class,2017,402.0,8.0,0,4.0,26,18,617,74850,18,0,0,2,2,61692.82,30947,13157.18
Corolla,2016,132.0,4.0,1,4.0,38,29,2031,19135,13,1,0,0,2,17215.3,862381,1919.7
Cruze,2016,153.0,4.0,1,4.0,41,29,1385,16620,5,1,1,2,2,15096.69,875724,1523.31
500,2015,101.0,4.0,1,2.0,34,28,819,22800,32,2,1,0,0,20348.03,858044,2451.97
900,1996,185.0,4.0,1,2.0,26,18,376,2000,24,1,1,0,0,1810.43,702579,189.57
ALPINA B7,2015,540.0,8.0,0,4.0,25,16,3916,132200,20,0,0,1,2,100910.71,278,31289.29
ATS,2015,321.0,6.0,0,4.0,28,18,1624,47615,10,3,0,0,2,40388.99,430431,7226.01
CTS,2015,272.0,4.0,0,4.0,30,20,1624,60070,10,2,0,1,2,51022.62,72100,9047.38
Envoy XL,2005,300.0,8.0,0,4.0,19,13,549,38160,14,1,0,1,11,34358.36,853974,3801.64
C-Class,2015,302.0,6.0,0,2.0,28,20,617,44050,18,0,0,0,1,38281.03,425376,5768.97
9-3 Griffin,2012,220.0,4.0,1,2.0,33,20,376,46080,24,5,1,0,0,39446.57,468280,6633.43
Freestar,2007,201.0,6.0,1,4.0,21,15,5657,19700,8,1,0,2,10,17382.04,904800,2317.96
6 Series,2015,445.0,8.0,3,2.0,25,16,3916,90400,20,0,0,2,1,72083.02,20956,18316.98
300M,2004,255.0,6.0,1,4.0,25,16,1013,32615,6,0,0,1,2,30123.57,886808,2491.43
CTS,2017,335.0,6.0,3,4.0,27,19,1624,55695,10,1,0,1,2,48476.69,517183,7218.31
Encore,2017,138.0,4.0,1,4.0,33,25,155,29065,34,1,0,0,11,26473.54,695366,2591.46
A4,2017,252.0,4.0,1,4.0,33,25,3105,37300,9,2,2,2,2,34658.41,889262,2641.59
Beetle Convertible,2015,150.0,4.0,1,2.0,40,30,873,31125,4,4,1,0,0,28069.27,718938,3055.73
Durango,2015,290.0,6.0,3,4.0,24,17,1851,33095,7,1,0,1,11,29381.91,776183,3713.09
240,1992,114.0,4.0,0,4.0,26,19,870,2000,38,1,1,2,2,1817.45,695220,182.55
3-Sep,2011,210.0,4.0,1,2.0,27,19,376,45080,24,2,0,0,0,37706.61,444547,7373.39
900,1996,150.0,4.0,1,4.0,26,18,376,2000,24,1,1,0,7,1858.07,720987,141.93
Continental,2003,420.0,8.0,0,2.0,15,10,520,318990,21,0,0,1,1,230165.28,589,88824.72
Discovery Sport,2016,240.0,4.0,3,4.0,26,20,258,37455,16,2,0,2,11,33087.38,901279,4367.62
Esprit,2002,350.0,8.0,0,2.0,21,14,613,89825,15,0,1,0,1,68660.69,13257,21164.31
500,2016,101.0,4.0,1,2.0,40,31,819,16995,32,2,1,0,5,15249.99,888618,1745.01
ATS Coupe,2017,335.0,6.0,0,2.0,30,20,1624,46995,10,1,0,0,1,40939.32,441664,6055.68
CC,2016,200.0,4.0,1,4.0,31,22,873,37820,4,2,2,2,2,33927.41,892264,3892.59
850,1996,222.0,5.0,1,4.0,24,17,870,2000,38,1,0,2,12,1814.72,737477,185.28
Cobalt,2009,260.0,4.0,1,4.0,30,22,1385,23425,5,2,1,0,2,21744.75,854980,1680.25
DBS,2011,510.0,12.0,0,2.0,18,12,259,286739,37,0,0,2,0,203580.5,257,83158.5
Five Hundred,2005,203.0,6.0,1,4.0,26,19,5657,24165,8,1,0,1,2,22137.04,841835,2027.96
Blazer,2005,190.0,6.0,0,4.0,20,15,1385,25480,5,1,0,2,11,23147.8,720447,2332.2
Contour SVT,2000,200.0,6.0,1,4.0,27,18,5657,2937,8,1,1,2,2,2635.62,865414,301.38
Edge,2016,245.0,4.0,1,4.0,30,20,5657,28700,8,2,0,2,11,25392.48,725506,3307.52
940,1994,114.0,4.0,0,4.0,24,17,870,2000,38,1,0,2,2,1856.05,763877,143.95
Amanti,2009,264.0,6.0,1,4.0,24,17,1720,26045,27,1,0,2,2,23207.02,739082,2837.98
Chevy Van,1997,200.0,6.0,0,3.0,17,14,1385,2000,5,1,0,1,14,1818.58,743851,181.42
3-Sep,2009,280.0,6.0,1,2.0,24,15,376,51330,24,2,0,0,0,44272.32,489783,7057.68
Avenger,2014,283.0,6.0,1,4.0,29,19,1851,25795,7,3,0,2,2,23833.87,828730,1961.13
3-Sep,2009,210.0,4.0,3,4.0,27,17,376,37810,24,2,0,0,12,34276.02,805455,3533.98
3-Sep,2009,210.0,4.0,3,4.0,27,17,376,36395,24,2,0,2,2,32556.22,829002,3838.78
Corvette,2016,455.0,8.0,0,2.0,29,17,1385,59855,5,2,1,0,1,51433.01,472637,8421.99
Element,2010,166.0,4.0,1,4.0,25,20,2202,24335,3,1,0,0,11,22178.0,884610,2157.0
B-Series Truck,2009,143.0,4.0,0,2.0,26,21,586,16060,2,1,1,0,3,14557.21,903313,1502.79
3 Series,2015,180.0,4.0,0,4.0,36,24,3916,32950,20,0,0,2,2,30422.31,881418,2527.69
3 Series,2016,180.0,4.0,0,4.0,42,32,3916,39850,20,4,0,2,2,35449.04,873475,4400.96
760,1990,162.0,4.0,0,4.0,20,16,870,2000,38,1,0,2,2,1853.49,870924,146.51
850,1995,168.0,5.0,1,4.0,26,18,870,2000,38,1,1,2,2,1774.01,835743,225.99
Accord,2016,185.0,4.0,1,2.0,34,23,2202,23875,3,1,1,2,1,21610.99,783711,2264.01
Accord,2016,278.0,6.0,1,2.0,32,21,2202,34225,3,1,0,2,1,30437.21,915847,3787.79
240,1993,114.0,4.0,0,4.0,25,18,870,2000,38,1,1,2,12,1819.26,861202,180.74
960,1996,181.0,6.0,0,4.0,24,16,870,2000,38,1,0,2,12,1773.95,902501,226.05
Altima,2017,179.0,4.0,1,4.0,39,27,2009,25460,0,1,0,2,2,23236.1,846809,2223.9
4 Series,2016,300.0,6.0,3,2.0,29,20,3916,58950,20,0,0,2,0,50830.02,512846,8119.98
4 Series,2017,248.0,4.0,0,2.0,34,23,3916,50300,20,2,0,2,0,43273.65,480406,7026.35
4 Series,2017,248.0,4.0,0,2.0,34,23,3916,42150,20,2,0,2,1,35743.6,451054,6406.4
7 Series,2016,320.0,6.0,0,4.0,29,21,3916,81300,20,0,0,1,2,64854.89,22324,16445.11
740,1990,114.0,4.0,0,4.0,26,19,870,2000,38,1,1,2,12,1851.74,876812,148.26
Armada,2015,317.0,8.0,2,4.0,18,12,2009,43810,0,1,0,1,11,38209.93,428615,5600.07
B9 Tribeca,2007,245.0,6.0,3,4.0,21,16,640,31995,17,0,0,2,11,29032.36,765320,2962.64
C-Class,2017,241.0,4.0,3,4.0,31,24,617,41850,18,0,0,2,2,35461.61,476631,6388.39
500-Class,1993,315.0,8.0,0,2.0,19,14,617,5140,18,1,0,0,0,4724.91,762963,415.09
500,2015,160.0,4.0,1,2.0,34,28,819,26595,32,2,1,0,0,24568.15,766788,2026.85
2,2012,100.0,4.0,1,4.0,34,28,586,16860,2,1,0,0,7,14863.88,730594,1996.12
3-Sep,2011,210.0,4.0,1,4.0,28,19,376,35340,24,2,0,2,2,31796.65,912532,3543.35
5-Sep,2009,260.0,4.0,1,4.0,27,17,376,39400,24,2,0,2,2,35088.99,788537,4311.01
Alero,2002,140.0,4.0,1,2.0,30,21,26,19855,26,1,0,2,1,17486.0,806323,2369.0
Alero,2003,140.0,4.0,1,2.0,30,21,26,18085,26,1,0,2,1,16470.55,861145,1614.45
Alero,2004,140.0,4.0,1,4.0,31,21,26,18485,26,1,0,2,2,17121.17,764090,1363.83
Bravada,2003,275.0,6.0,0,4.0,20,14,26,33395,26,1,0,2,11,30820.97,720965,2574.03
Continental Flying Spur,2011,552.0,12.0,3,4.0,18,11,520,181200,21,7,0,1,2,135471.7,638,45728.3
Dakota,2008,210.0,6.0,0,4.0,20,16,1851,23640,7,1,1,0,9,20964.88,856153,2675.12
GX 460,2017,301.0,8.0,2,4.0,18,15,454,51280,36,0,0,2,11,43871.91,491975,7408.09
IS 250,2013,204.0,6.0,0,4.0,30,21,454,35065,36,0,0,2,2,31491.18,723740,3573.82
200,2016,184.0,4.0,1,4.0,36,23,1013,22490,6,3,0,2,2,20430.6,719403,2059.4
Expedition,2016,365.0,6.0,0,4.0,21,15,5657,48145,8,1,0,1,11,42156.01,436294,5988.99
4 Series Gran Coupe,2015,300.0,6.0,3,4.0,31,20,3916,47800,20,0,0,2,2,41336.09,496063,6463.91
6 Series,2017,315.0,6.0,3,2.0,28,19,3916,80600,20,0,0,2,1,62269.66,18878,18330.34
ATS Coupe,2016,272.0,4.0,0,2.0,31,22,1624,45445,10,2,0,0,1,39849.21,511865,5595.79
Aveo,2011,108.0,4.0,1,4.0,35,27,1385,14100,5,1,1,0,2,12764.62,827609,1335.38
HHR,2010,155.0,4.0,1,4.0,32,22,1385,20030,5,3,1,0,12,18204.85,830262,1825.15
HHR,2011,155.0,4.0,1,4.0,32,22,1385,19720,5,3,1,0,12,17991.44,738735,1728.56
Corvette,2017,460.0,8.0,0,2.0,25,16,1385,74195,5,2,1,0,0,58484.91,73014,15710.09
Corvette,2017,460.0,8.0,0,2.0,25,16,1385,65450,5,2,1,0,1,53003.51,37739,12446.49
2 Series,2016,240.0,4.0,0,2.0,34,23,3916,38650,20,0,0,0,0,35079.79,809969,3570.21
456M,2002,442.0,12.0,0,2.0,15,9,2774,224585,1,0,1,0,1,165207.31,598,59377.69
650S Coupe,2015,641.0,8.0,0,2.0,22,16,416,265500,41,0,2,0,1,188060.75,513,77439.25
Electra,1990,165.0,6.0,1,4.0,25,16,155,2000,34,1,0,2,2,1806.67,832064,193.33
Elise,2009,218.0,4.0,0,2.0,26,20,613,54990,15,0,1,0,0,46413.69,481939,8576.31
9-7X,2009,285.0,6.0,3,4.0,20,14,376,42615,24,1,0,2,11,36614.26,511426,6000.74
9000,1997,200.0,4.0,1,4.0,26,18,376,2084,24,1,1,2,7,1916.13,904362,167.87
Beetle,2015,170.0,4.0,1,2.0,33,24,873,25095,4,1,1,0,5,22422.81,900468,2672.19
Beetle,2017,170.0,4.0,1,2.0,33,24,873,20475,4,1,0,0,5,18525.02,847325,1949.98
Envoy XL,2004,275.0,6.0,2,4.0,18,13,549,38120,14,1,0,1,11,34508.27,810173,3611.73
Envoy XL,2006,291.0,6.0,0,4.0,19,14,549,30910,14,1,0,1,11,27399.07,861250,3510.93
5 Series,2016,240.0,4.0,0,4.0,34,23,3916,50200,20,0,0,1,2,43892.7,488287,6307.3
5 Series,2016,255.0,6.0,3,4.0,37,26,3916,59650,20,4,0,1,2,50519.32,480459,9130.68
ATS,2015,321.0,6.0,0,4.0,28,18,1624,41340,10,3,0,0,2,34549.29,438208,6790.71
350Z,2007,306.0,6.0,0,2.0,23,17,2009,41250,0,1,0,0,0,35766.59,487185,5483.41
350Z,2007,306.0,6.0,0,2.0,25,18,2009,36100,0,1,1,0,1,33420.36,735645,2679.64
350Z,2008,306.0,6.0,0,2.0,24,17,2009,38630,0,1,1,0,0,34196.87,722476,4433.13
CLK-Class,2009,382.0,8.0,0,2.0,21,15,617,64800,18,0,0,2,0,51954.25,25860,12845.75
CLK-Class,2009,268.0,6.0,0,2.0,25,17,617,48100,18,0,0,2,1,40848.15,505675,7251.85
Cruze Limited,2016,138.0,4.0,1,4.0,38,26,1385,24370,5,1,0,2,2,22389.7,740268,1980.3
Cruze,2015,138.0,4.0,1,4.0,39,26,1385,21370,5,1,0,2,2,19528.19,763511,1841.81
500,2016,101.0,4.0,1,2.0,40,31,819,20395,32,2,1,0,5,18327.79,812785,2067.21
500,2016,101.0,4.0,1,2.0,40,31,819,20395,32,2,1,0,0,18876.37,720988,1518.63
Altima,2016,270.0,6.0,1,4.0,32,22,2009,32090,0,1,0,2,2,28269.86,811237,3820.14
ATS Coupe,2017,335.0,6.0,0,2.0,30,20,1624,49495,10,1,0,0,1,42890.33,440354,6604.67
Diamante,2003,210.0,6.0,1,4.0,23,16,436,27097,11,0,0,2,2,24158.51,868108,2938.49
Discovery Sport,2017,240.0,4.0,3,4.0,25,20,258,46595,16,2,0,2,11,39340.18,491161,7254.82
Avalon,2016,268.0,6.0,1,4.0,31,21,2031,37050,13,1,0,2,2,33610.17,864634,3439.83
Aventador,2015,700.0,12.0,3,2.0,16,10,1158,441600,25,0,2,2,0,325978.8,286,115621.2
Aventador,2015,720.0,12.0,3,2.0,18,11,1158,497650,25,0,2,2,1,346877.23,538,150772.77
3,2017,155.0,4.0,1,4.0,37,28,586,21495,2,1,0,2,2,19240.79,913500,2254.21
740,1991,162.0,4.0,0,4.0,20,17,870,2000,38,1,0,2,12,1785.82,881884,214.18
Accord Hybrid,2017,212.0,4.0,1,4.0,47,49,2202,32905,3,1,0,2,2,29250.77,702666,3654.23
3 Series,2016,320.0,6.0,3,4.0,33,22,3916,47800,20,0,0,2,2,40701.8,478650,7098.2
760,1990,162.0,4.0,0,4.0,20,16,870,2000,38,1,0,2,12,1839.55,709122,160.45
8 Series,1995,372.0,12.0,0,2.0,18,10,3916,8488,20,1,1,2,1,7815.64,910890,672.36
8 Series,1997,282.0,8.0,0,2.0,19,14,3916,6693,20,1,0,2,1,6160.95,833967,532.05
Accord,2016,185.0,4.0,1,2.0,34,23,2202,26000,3,1,1,2,1,24168.96,791908,1831.04
Accord,2016,278.0,6.0,1,2.0,32,21,2202,33025,3,1,0,2,1,30617.82,823647,2407.18
960,1997,181.0,6.0,0,4.0,24,16,870,2000,38,1,0,2,2,1826.38,863768,173.62
AMG GT,2016,503.0,8.0,0,2.0,22,16,617,129900,18,0,2,0,1,92430.22,592,37469.78
4 Series,2016,300.0,6.0,0,2.0,31,20,3916,56950,20,0,0,2,0,48994.56,508932,7955.44
4 Series,2017,248.0,4.0,3,2.0,33,23,3916,44150,20,2,0,2,1,37900.01,506359,6249.99
718 Cayman,2017,300.0,4.0,0,2.0,28,21,1715,53900,12,0,1,0,1,44855.96,459666,9044.04
740,1990,153.0,4.0,0,4.0,23,18,870,2000,38,1,1,2,2,1799.5,804547,200.5
AMG GT,2017,503.0,8.0,0,2.0,22,16,617,131200,18,0,0,0,1,104684.9,685,26515.1
B9 Tribeca,2007,245.0,6.0,3,4.0,21,16,640,32495,17,0,0,2,11,28746.16,845212,3748.84
C-Class,2017,241.0,4.0,3,2.0,29,22,617,52900,18,0,0,2,0,45245.76,489809,7654.24
500-Class,1993,315.0,8.0,0,4.0,16,12,617,2692,18,1,0,1,2,2455.29,810633,236.71
2,2012,100.0,4.0,1,4.0,35,29,586,16020,2,1,1,0,7,14811.33,727552,1208.67
2,2013,100.0,4.0,1,4.0,34,28,586,17050,2,1,0,0,7,15586.85,780164,1463.15
3-Sep,2011,210.0,4.0,3,4.0,27,17,376,36975,24,2,0,0,12,34114.16,717715,2860.84
5-Sep,2009,260.0,4.0,1,4.0,27,17,376,43270,24,2,0,2,12,37520.96,431295,5749.04
Aerostar,1997,152.0,6.0,3,3.0,17,13,5657,2000,8,1,0,1,8,1840.41,910622,159.59
Alero,2002,170.0,6.0,1,4.0,27,18,26,22145,26,1,0,2,2,19763.91,784724,2381.09
350Z,2007,306.0,6.0,0,2.0,24,17,2009,37100,0,1,0,0,1,33758.49,791141,3341.51
350Z,2008,306.0,6.0,0,2.0,24,17,2009,33840,0,1,0,0,1,30909.64,751131,2930.36
CLK-Class,2009,382.0,8.0,0,2.0,22,15,617,56800,18,0,0,2,1,49844.96,473965,6955.04
Cruze Limited,2016,138.0,4.0,1,4.0,42,28,1385,20195,5,1,1,2,2,18363.87,748715,1831.13
Cruze,2015,138.0,4.0,1,4.0,36,25,1385,16170,5,1,1,2,2,14912.29,820282,1257.71
500,2016,101.0,4.0,1,2.0,40,31,819,21295,32,2,1,0,5,19717.5,755525,1577.5
500,2016,101.0,4.0,1,2.0,40,31,819,24495,32,2,1,0,0,22432.88,726100,2062.12
Alpina,2003,375.0,8.0,0,2.0,19,13,3916,136900,20,0,0,0,0,104842.57,337,32057.43
ATS Coupe,2016,335.0,6.0,3,2.0,28,19,1624,51945,10,1,0,0,1,44293.9,474291,7651.1
Diamante,2003,205.0,6.0,1,4.0,23,16,436,25997,11,0,0,2,2,23158.12,874555,2838.88
Diamante,2004,205.0,6.0,1,4.0,23,15,436,27619,11,0,0,2,2,25587.93,914139,2031.07
2 Series,2017,248.0,4.0,3,2.0,33,23,3916,40950,20,2,0,0,0,34742.68,477103,6207.32
200,2017,184.0,4.0,1,4.0,36,23,1013,21995,6,3,0,2,2,19735.8,860983,2259.2
3-Sep,2009,210.0,4.0,1,4.0,29,19,376,31790,24,2,1,0,12,27992.29,913748,3797.71
3-Sep,2009,210.0,4.0,1,4.0,28,19,376,34150,24,2,0,2,2,31202.99,739313,2947.01
B-Series Pickup,2000,119.0,4.0,0,2.0,24,20,586,2350,2,1,1,0,3,2138.04,835051,211.96
B-Series Truck,2007,148.0,6.0,0,2.0,21,16,586,19675,2,1,1,0,3,17728.23,845696,1946.77
Cayenne,2015,240.0,6.0,3,4.0,29,20,1715,61700,12,4,0,2,11,49666.7,72100,12033.3
3 Series,2016,180.0,4.0,0,4.0,36,24,3916,33150,20,0,0,2,2,29534.39,803036,3615.61
3 Series,2017,180.0,4.0,0,4.0,35,23,3916,33450,20,2,0,2,2,29554.15,735241,3895.85
300-Class,1991,177.0,6.0,0,4.0,19,15,617,2124,18,1,0,1,2,1947.48,871708,176.52
300-Class,1993,177.0,6.0,3,4.0,19,15,617,2544,18,1,0,2,12,2295.86,786688,248.14
300-Class,1993,228.0,6.0,0,2.0,21,14,617,4174,18,1,1,0,0,3823.76,733846,350.24
Accord,2017,185.0,4.0,1,2.0,32,23,2202,24025,3,1,1,2,1,21419.65,803279,2605.35
Accord,2017,185.0,4.0,1,4.0,32,23,2202,22355,3,1,1,2,2,20359.93,784321,1995.07
240SX,1996,155.0,4.0,0,2.0,26,19,2009,3713,0,1,1,0,1,3369.31,792655,343.69
240,1992,114.0,4.0,0,4.0,26,19,870,2000,38,1,1,2,2,1816.58,805721,183.42
944,1990,208.0,4.0,0,2.0,24,15,1715,3083,12,1,1,0,0,2761.61,862779,321.39
4 Series,2017,320.0,6.0,3,2.0,30,20,3916,59300,20,2,0,2,0,50982.74,448284,8317.26
400-Class,1992,268.0,8.0,0,4.0,20,15,617,2168,18,1,0,2,2,2012.27,907584,155.73
7 Series,2015,315.0,6.0,0,4.0,29,19,3916,78000,20,0,0,1,2,64340.6,40316,13659.4
7 Series,2016,445.0,8.0,0,4.0,25,17,3916,94400,20,0,0,1,2,78331.32,21335,16068.68
C30,2011,227.0,5.0,1,2.0,29,21,870,24700,38,2,1,0,5,22271.67,864925,2428.33
300,2016,300.0,6.0,0,4.0,31,19,1013,35595,6,1,0,1,2,31750.16,755617,3844.84
500-Class,1992,322.0,8.0,0,4.0,15,11,617,2427,18,1,0,1,2,2181.01,755346,245.99
500-Class,1993,315.0,8.0,0,4.0,18,14,617,3613,18,1,0,2,2,3311.49,721428,301.51
500,2016,101.0,4.0,1,2.0,40,31,819,17900,32,2,1,0,5,16201.23,716417,1698.77
900,1996,150.0,4.0,1,2.0,26,18,376,2000,24,1,1,0,5,1790.88,898259,209.12
900,1997,150.0,4.0,1,2.0,26,18,376,2000,24,1,1,0,0,1822.81,718124,177.19
911,2015,560.0,6.0,3,2.0,24,17,1715,182700,12,0,2,0,1,139535.39,557,43164.61
ALPINA B7,2014,540.0,8.0,3,4.0,24,16,3916,135200,20,0,0,1,2,106472.96,576,28727.04
Discovery Sport,2017,240.0,4.0,3,4.0,25,20,258,37695,16,2,0,2,11,33707.16,756080,3987.84
Envision,2017,197.0,4.0,1,4.0,29,22,155,35870,34,3,0,2,11,32593.2,703206,3276.8
C-Class,2016,469.0,8.0,0,4.0,25,18,617,65250,18,0,0,2,2,50988.37,68318,14261.63
5-Sep,2011,220.0,4.0,1,4.0,33,20,376,38525,24,2,1,1,2,34828.51,889450,3696.49
5-Sep,2011,300.0,6.0,3,4.0,27,17,376,48030,24,2,0,1,2,40705.12,478716,7324.88
9000,1997,225.0,4.0,1,4.0,26,18,376,2145,24,1,1,2,7,1914.46,839949,230.54
Aerostar,1996,140.0,6.0,0,3.0,21,15,5657,2000,8,1,0,1,8,1775.16,884643,224.84
5,2013,157.0,4.0,1,4.0,28,22,586,20940,2,1,0,0,8,18638.88,724008,2301.12
6 Series Gran Coupe,2016,315.0,6.0,0,4.0,31,20,3916,79500,20,0,0,1,2,65160.0,25979,14340.0
940,1994,114.0,4.0,0,4.0,24,17,870,2000,38,1,0,2,12,1769.26,871518,230.74
CLS-Class,2015,329.0,6.0,0,4.0,30,20,617,65990,18,0,0,2,2,51531.01,57520,14458.99
CLS-Class,2016,402.0,8.0,0,4.0,26,17,617,74100,18,0,0,2,2,58917.36,46306,15182.64
